Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
"ADKINS EQUIPMENT, INC.",NBM438012,,L218,0011660148,,Delivered to Destination,ZT56,2/14/13,9:17:40 AM,DETROIT LAKES,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"FRANZEN SALES & SERVICE, LTD.",NCM456407,,L220,0011933660,,Delivered to Destination,ZT56,2/15/13,5:20:01 PM,FORT ATKINSON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
HEHLI-VOLD CORPORATION,NDM449053,,L218,0011933661,,Delivered to Destination,ZT56,3/26/13,4:39:55 PM,MENOMONIE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
"FARMERS EQUIPMENT, INC.",NBM426708,,SR150,0011670505,,Delivered to Destination,ZT56,1/25/13,9:17:54 AM,LAKEVIEW,NA CASE,WI01,WI01,NA CASE / CASE IH,27x10.5-15 Premium (64 OTW),,,Retail
INGRAHAM EQUIPMENT CO.,NBM439479,,L215,0011665986,,Delivered to Destination,ZT56,3/4/13,8:17:28 AM,KNOX,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"MCDOWELL IMPLEMENT COMPANY, INC.",NBM438060,,L218,0011668081,,Delivered to Destination,ZT56,1/30/13,2:48:26 PM,GROVE CITY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
HURKES IMPLEMENT COMPANY,NBM433788,,L225,0011671155,,Delivered to Destination,ZT56,2/1/13,3:19:18 PM,WATERTOWN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
STRONGCO LIMITED PARTNERSHIP,NBM443459,,SV185,0011667766,,Delivered to Destination,ZT56,2/20/13,3:17:45 PM,Brampton,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
BURNIPS EQUIPMENT COMPANY,NBM436299,,L220,0011665004,,Delivered to Destination,ZT56,1/10/13,5:18:09 PM,DORR,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
KOBELCO CONSTRUCTION MACHINERY CO L,NDM454542,,SR200,0011921019,,Export Vessel Sailed,ZT72,3/22/13,10:19:08 AM,IN TRANSIT,TAIWAN CS,WI01,WI01,TAIWAN CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
KOBELCO CONSTRUCTION MACHINERY CO L,NDM454543,,SR200,0011921020,,Export Vessel Sailed,ZT72,3/22/13,10:18:54 AM,IN TRANSIT,TAIWAN CS,WI01,WI01,TAIWAN CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
HI LINE FARM EQUIPMENT LTD.,NBM438100,,L218,0011676205,,Delivered to Destination,ZT56,2/28/13,1:50:24 PM,WETASKIWIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
MCGAVIN FARM EQUIPMENT LTD.,NBM436440,,L220,0011676128,,Delivered to Destination,ZT56,3/26/13,9:18:26 AM,WALTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"RITCHIE IMPLEMENT, INC.",NDM444150,,SV185,0011928906,,Delivered to Destination,ZT56,2/21/13,8:48:21 AM,COBB,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
Attrans Commercials Ltd,NCM458810,,L213-NA,0011834479,,Export Vessel Sailed,ZT72,2/11/13,10:47:54 AM,IN TRANSIT,LIBYA NH L,WI01,WI01,LIBYA NH AGCE LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
GRUMAQ SRL,NCM441895,,SR130NA CASE,0011837527,,Export Vessel Sailed,ZT72,6/19/13,5:58:10 PM,IN TRANSIT,ARG CASE,WI01,WI01,ARGENTINA CASE / CASE IH,10x16.5 Premium (59 OTW),,,Dealer Inventory
Stratford Farm Equip (New Hamburg),NBM426712,,SR150,0011698662,,Delivered to Destination,ZT56,3/5/13,2:18:03 PM,NEW HAMBURG,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
MIDWEST TRACTOR SALES INC.,NBM439568,,L215,0011690291,,Delivered to Destination,ZT56,1/14/13,12:19:21 PM,VANDALIA,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
TITAN MACHINERY INC.,NDM444162,,SV185,0011945337,,Delivered to Destination,ZT56,2/25/13,11:36:30 AM,PIPESTONE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"GRUETT'S, INC.",NBM445740,,L225,0011697444,,Delivered to Destination,ZT56,1/10/13,11:18:26 AM,New Holstein,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
LLC COMPANY SIM-AUTO,NBM426720,,SR150-NA,0011697575,,Export Vessel Sailed,ZT72,3/5/13,7:29:03 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
J. R. BRISSON EQUIPEMENT LTEE.,NBM425025,,SR130,0011697997,,Delivered to Destination,ZT56,2/27/13,2:18:25 PM,VARS,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
LLC COMPANY SIM-AUTO,NBM426728,,SR150-NA,0011697576,,Export Vessel Sailed,ZT72,2/15/13,9:50:13 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"WADE TRACTOR & EQUIPMENT, INC.",NCM445927,,L225,0011698971,,Delivered to Destination,ZT56,1/11/13,1:18:06 PM,GRIFFIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"CAPITAL TRACTOR, INC.",NBM441341,,L213,0011699389,,Delivered to Destination,ZT56,2/13/13,9:18:32 PM,GREENWICH,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"MILWAUKEE TRACTOR & EQUIPMENT, INC.",NBM438494,,L218,0011699761,,Delivered to Destination,ZT56,3/27/13,1:17:35 PM,MILWAUKEE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"EQUIPMENT DEPOT, LTD.",NBM447244,,L218,0011696508,,Delivered to Destination,ZT56,1/14/13,7:18:27 AM,WACO,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"ADKINS EQUIPMENT, INC.",NCM446120,,L225,0011700320,,Delivered to Destination,ZT56,1/8/13,11:17:48 AM,DETROIT LAKES,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NBM437255,,SV300,0011694571,,Outbound Delivery Shipped,ZT54,3/28/13,12:31:22 PM,IN TRANSIT,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
"MONROE TRACTOR & IMPLEMENT CO., INC",NBM443589,,SV185,0011695549,,Delivered to Destination,ZT56,3/27/13,9:18:06 AM,BATAVIA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"BENNETT FARM EQUIPMENT, INC.",NBM447281,,L218,0011695671,,Delivered to Destination,ZT56,1/22/13,12:19:29 PM,BENNETT,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
HI-WAY EQUIPMENT COMPANY LLC,NBM432019,,SR220,0011694220,,Delivered to Destination,ZT56,1/17/13,8:26:18 AM,HOUSTON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"G, J & L INC.",NBM444337,,SV250,0011694230,,Delivered to Destination,ZT56,3/20/13,4:17:51 PM,Conley,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"WHITE'S FARM SUPPLY, INC.",NBM438531,,L218,0011687912,,Delivered to Destination,ZT56,2/7/13,10:18:40 AM,CANASTOTA,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"STELTER-HOFREITER, INC.",NBM439592,,L215,0011687449,,Delivered to Destination,ZT56,3/19/13,11:17:47 AM,HAVANA,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
