Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,Char. 4,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM458205,,L215-NA,0011975065,,Export Vessel Sailed,ZT72,2/7/14,11:46:15 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM458211,,L215-NA,0011975066,,Export Vessel Sailed,ZT72,2/7/14,11:46:01 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"GAUSE EQUIPMENT, INC.",NDM465624,,SR175,0011977377,,Delivered to Destination,ZT56,2/26/14,8:20:27 AM,LISBON,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
"LAWRENCE TRANSPORTATION SYSTEMS, IN",NDM467244,,SR200,0011977960,,Delivered to Destination,ZT56,3/18/14,4:18:58 PM,WAYNESBORO,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"FINNEY IMPLEMENT, INC.",NDM466495,,SV185,0011978212,,Delivered to Destination,ZT56,1/24/14,12:20:22 PM,LANCASTER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"BOONE & BECKNER IMPLEMENT, INC.",NDM474379,,L223,0011978482,,Delivered to Destination,ZT56,2/14/14,4:19:40 PM,BEDFORD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"BRIAN THOMPSON TRACTOR CO., INC.",NDM474172,,L223,0011978615,,Delivered to Destination,ZT56,2/5/14,10:18:52 AM,FORT PIERCE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
THOMAS IMPLEMENT INC.,NDM454924,,SR200,0011978996,,Delivered to Destination,ZT56,3/28/14,2:18:58 PM,ALTAMONT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LAWRENCE TRANSPORTATION SYSTEMS, IN",NDM455002,,SR200,0011980408,,Delivered to Destination,ZT56,2/25/14,12:19:43 PM,WAYNESBORO,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"ANGELO EQUIPMENT, LLC",NDM474291,,L223,0011980926,,Delivered to Destination,ZT56,1/22/14,1:19:22 PM,PERRYOPOLIS,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
AL-SHIRAWI ENTERPRISES LLC,NDM451392,,SR150-NA,0011983017,,Export Vessel Sailed,ZT72,3/17/14,3:20:00 PM,IN TRANSIT,U.A.E. CSL,WI01,WI01,Unit Arab Emirates CS/CIH LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
AL-SHIRAWI ENTERPRISES LLC,NDM451390,,SR150-NA,0011983018,,Export Vessel Sailed,ZT72,3/17/14,3:20:13 PM,IN TRANSIT,U.A.E. CSL,WI01,WI01,Unit Arab Emirates CS/CIH LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
AL-SHIRAWI ENTERPRISES LLC,NDM451393,,SR150-NA,0011983019,,Export Vessel Sailed,ZT72,3/17/14,3:19:46 PM,IN TRANSIT,U.A.E. CSL,WI01,WI01,Unit Arab Emirates CS/CIH LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM458214,,L215-NA,0011988618,,Export Vessel Sailed,ZT72,2/7/14,11:45:45 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"ANGELO EQUIPMENT, LLC",NDM458978,,L213,0011991324,,Delivered to Destination,ZT56,1/8/14,1:20:52 PM,PERRYOPOLIS,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
